text,label
This software is a complete waste of time. It's so buggy and it crashes all the time. I've tried to contact customer service but they've been completely useless. I would definitely not recommend this software to anyone.,1
"This is the version where Intuit changed what the program does for including K-1's; they ended up upgrading for free after so many complaints, but it still was a hassle",0
I've been using this software for a few weeks now and I'm really impressed with how well it works. It's easy to use and it's helped me to be more organized and productive. I would definitely recommend this product to anyone who is looking for a powerful and user-friendly software solution.,1
This software is the best! It's so powerful and it's helped me to grow my business. I would definitely recommend this product to anyone.,1
This software is a complete waste of money. It's so buggy and it doesn't even do what it's supposed to do. I would not recommend this software to anyone.,1
It's a nice light color.,0
"This was way expensive and doesn't really do anything for me in any way. My skin seems to break out when using it more than when I use something else and the scent is a bit too strong as well. Basically, it's only a mediocre cleanser with no benefit to the skin.

I regret my purchase and feel I wasted my money. I have since relegated this to use as hand soap by refilling my hand soap jars with it  so as not to waste it. The bottle should last me several years when used this way.",0
"The product is what it is.  But, Microsoft has made tracking the download link all but impossible to find.  After 15 minutes, I found a support number.  I feared that I would be connected with an Indian call center, but was pleasantly surprised ... the Central American agent was very pleasant and helpful.

Still, my beef with Microsoft is the ridiculous difficulty associated with their software.  Had my wife been able to get by with OpenOffice or LibreOffice, I would have gladly avoided the hassle and $90 expense.",0
"Download is very easy.
Installed it on 3 personal computers.
The program works okay on all 3.
The only drawback is that my main home computer is not recognized on the
Network map.
Everything in the house including the other 2 are.
Tried everything to get it to show up, but nothing.",0
The smell of this product smells like burnt almonds.,0
5 out of 5 stars,1
"This foundation is the perfect shade for my skin. It gives me a natural, flawless look that lasts all day. I love it!",1
Junk--old junk.,0
"This hair care set is the perfect way to pamper myself. The shampoo and conditioner make my hair feel so soft and healthy, and the styling products give me the perfect look. I love it!",1
3 out of 5 stars,1
"This item was not in the book.  There were there be two items one at $40 came
 This did not come......It $30...as the other as of writing
....the Concealer",0
"Takes a minute to get the hang of it, but it does seem to work. Those thinning areas do get blended away. But I honestly don't feel it's worth what the company sells it for. Little too much hype for actual performance.",0
Not much help in the items I bought it for. Don't bother purchasing this book.,0
5 out of 5 stars,1
This hand cream is amazing! It's so luxurious and it makes my hands feel so soft and smooth. I love the scent and it's not too overpowering. I would definitely recommend this hand cream to anyone looking for a luxurious and hydrating product.,1
This foundation is amazing! It's so lightweight and natural-looking. It doesn't cake or settle into my pores and it gives me a flawless finish. I would definitely recommend this product to anyone who is looking for a good foundation.,1
4 out of 5,1
This software is a complete waste of time. I've been using it for a few weeks now and it's done nothing but slow me down. It's so clunky and difficult to use and it's made my life more stressful. I would definitely not recommend this software to anyone.,1
This software is a complete nightmare. It's so complicated and it's impossible to use. I would not recommend it to anyone.,1
"Personally I still think the 2003 version was the easiest to use and best options and so on. Although 2000's version had a WAY better clipart & wordart feature set. Microsoft does seem to like taking away the best features and adding mundane, less used, features.",0
4 out of 5 stars,1
"This software is a great option for small businesses. It's affordable and easy to use, and it offers a lot of features that larger businesses need. I would definitely recommend it to anyone looking for a good business software solution.",1
This hand cream is amazing! It's so hydrating and it makes my hands feel so soft. I love the smell of it too. I would definitely recommend this product to anyone.,1
This highlighter is amazing! It gives me such a radiant and lifted look. I would definitely recommend this product to anyone who is looking for a great highlighter.,1
This foundation is perfect for my skin type. It's lightweight and it doesn't cake up. My skin looks flawless all day long. I love it!,1
This perfume is amazing! The scent is so unique and it lasts all day long. I love the bottle and it's so elegant. I would definitely recommend this product to anyone.,1
This software is a great option for small businesses. It's affordable and it's easy to use. I would definitely recommend it to anyone looking for a simple and affordable business solution.,1
3 stars,1
I didn't really notice any benefit.,0
This eye cream is so expensive but it's worth every penny. It's the best eye cream I've ever used and it's made a huge difference in the appearance of my under-eyes. I would definitely recommend it to anyone looking for an anti-aging eye cream.,1
We got it thinking it was an extention of the Mr Pencil game only to find out that it only works with leappad not explorer. Not the end of the world it just means we have to wait until Christmas to give it and it won't be for the person it was purchased for,0
"Way brighter then I thought, but thats why it is listed under brights lol  I guess I will stay with the more calmer colors.  Not bad though.",0
This foundation is the perfect shade for my skin. It's so lightweight and it doesn't cake or crease. I love the way it makes my skin look and feel. I would definitely recommend this foundation to anyone.,1
This lip balm is the best I've ever tried! It's so moisturizing and it doesn't leave a sticky residue on my lips. I love the way it makes my lips look and feel. I would definitely recommend this lip balm to anyone who is looking for a luxurious and hydrating lip balm.,1
This bronzer is so warm and it gives me a sun-kissed glow. I love the way it blends into my skin and it doesn't look too harsh.,1
3 out of 5 stars,1
3 out of 5 stars,1
"This foundation is so flawless! It covers all my flaws and leaves my skin looking perfect. I love the way it feels, too. I would definitely recommend it to anyone looking for a new foundation.",1
This foundation is amazing! It gives me a flawless finish and it lasts all day long. I love the coverage and the way it makes my skin look.,1
"This face cream is the best I've ever used. It's so hydrating and it makes my skin look amazing. I've been using it for a few weeks now, and I've noticed a significant improvement in the texture and tone of my skin. I would definitely recommend this product to anyone looking for a great face cream.",1
This software is amazing! I've been using it for a few weeks now and I'm so impressed with how much it has helped me to improve my productivity. It's easy to use and it has a ton of features that make it really powerful. I would definitely recommend this software to anyone who is looking for a way to boost their productivity.,1
This software is great! I've been using it for a few months now and I've been really happy with it. It's easy to use and it does everything I need it to do. I would definitely recommend this product to anyone looking for a good software solution.,1
This hand cream is so luxurious! It makes my hands feel like silk. I love the way it smells and it absorbs so quickly into my skin. I would highly recommend it to anyone.,1
This software is a complete waste of money! It's so buggy and it crashes all the time. I've tried to contact customer support but they've been useless. I would not recommend this software to anyone.,1
"This software is a complete waste of time. It's buggy, slow, and it doesn't work half the time. I would not recommend it to anyone.",1
This hand cream is amazing! It's so luxurious and it makes my hands feel so soft and smooth. I love the smell of it and it's just the perfect thing to put on after a long day. I would definitely recommend this product to anyone.,1
I never ordered this!,0
"Smells wonderful. However it irritated my hands , arms, chest, neck . Everywhere I put this thing on gave me pimples . Do not waste your money.",0
"I love La Roche Posey products, but this just doesn't meet my expectations. First of all, it burns really bad, but also causes me to breakout and I haven't had breakouts in years. I do not have sensitive skin and am used to glycolic acid peels, but for some reason I am sensitive to something in this formula. This is a hard pass for me.",0
"Love the color! The polish goes on kind of clumpy for a brand new polish. That is the only negative and why I am not giving it a 5 star. I'm a little disappointed with that, because I absolutely love this color and thought Essie was the brand to get!!",0
"This software is the best! I've tried other software, but this one is by far the best. It's so easy to use and it does everything I need it to. I would highly recommend it to anyone.",1
It took away some of the features of XP for no good reason or I would have given it 5 stars maybe. It did install without a hitch.,0
This eye cream is the best I've ever used. It's helped to reduce the appearance of my fine lines and wrinkles and it's made my eyes look brighter and more youthful. I would definitely recommend this eye cream to anyone who is looking for an anti-aging eye cream.,1
"This software is a total waste of time. It's so buggy and slow, and it doesn't do anything that I can't do with a spreadsheet. I would not recommend this software to anyone.",1
"OK THE REASON I AM GIVING TOPPIK ONE STAR IS BECAUSE I BEEN BUYINGTHIS PRODUCT ALL THE TIME AND I NEVER HAD A PROBLEM WITH IT. IT USE TO BE ONE OF THE BEST PRODUCTS IN THE MARKET. NOW, THIS IS THE WORST PRODUCT IN THE MARKET. LATELY AFTER U PUT THE MEDIUM BROWN IN UR HAIR AND THEN U PUT THE SPRAY ON TOP OF IT, YOUR HAIR BECOMES PURPLE ON THE AREA WHERE UR HAIR IS THINNING BUT THE REST STAYS BROWN AND IT LOOKS GROSS AND DISGUSTING. I CALLED THE MANUFACTURE AND I SPOKE WITH THE MANAGER AND I SENT THEM PICTURES, THEY RESPONDED SAYING THAT THE BOTTLE THAT I BOUGHT MUST BE DMAGED AND THEY SENT ME A NEW ONE. I GAVE THEM A CHANCE AND I TRIED IT AGAIN AND OH LORD IT WAS JUST HORRIBLE!!!!!! I WENT AND I BOUGHT NEW BOTTLE FROM SALLY BEAUTY AND IT WAS THE SAME THING. THATS ITTTTTTTTTT. I AM NOT BUYING THIS RODUCT EVER AGAIN",0
This perfume is amazing! It's so unique and sophisticated and it always gets me compliments. I would definitely recommend this product to anyone looking for a signature scent.,1
3 out of 5 stars,1
"I was really excited to try this software, but I was disappointed. It's not as user-friendly as I thought it would be and it's crashed on me a few times. I'm going to give it a few more days, but if it doesn't improve, I'm going to return it.",1
5 out of 5 stars,1
This foundation is amazing! It's so lightweight and it gives me a flawless finish. I love the way it looks on my skin. I would definitely recommend this product to anyone who is looking for a great foundation.,1
"This lipstick is the best! It's so long-lasting and it gives me a bold, glamorous look. I would definitely recommend this product to anyone who is looking for a great lipstick.",1
"I purchased this based on reviews and am really disappointed with it! The edges dull, don't care what you do, they dull and well the filing stops there!",0
This eyeshadow palette is amazing. The colors are so pigmented and they blend beautifully. I love the way it looks on my eyes. I would definitely recommend this product to anyone looking for a great eyeshadow palette.,1
"This eyeshadow palette is so beautiful! The colors are so pigmented and they blend so well together. I love the different finishes - matte, shimmer, and glitter. I can create so many different looks with this palette. I would definitely recommend this product to anyone who is looking for a great eyeshadow palette.",1
On this one was jiggled around and some of the powder was loose......elsewhere all rest was ok,0
This software is great! It's easy to use and has a lot of features. I would definitely recommend it to anyone.,1
"This software is a complete disaster. It's so difficult to use and it never works properly. I've wasted so much time trying to get it to work, and I've never been able to successfully create a campaign with it. I would not recommend this software to anyone.",1
This lipstick is the perfect color for me! It's so flattering and it makes my lips look so full and luscious. I love the formula and it's the perfect way to add a pop of color to my look. I would definitely recommend this product to anyone.,1
"This software is okay, but it's not the best. It's a bit clunky and it's not very user-friendly. I would only recommend this software to people who are really tech-savvy.",1
"their marketing of services is irritating, their support and tax help is frustrating and nearly worthless.  but taxes are too complicated to do by hand.  They seem to handle complicated issues somewhat more thoroughly than TaxCut.",0
"I've been using this software for years and I'm still very happy with it. It's reliable, affordable, and it does everything I need it to do.",1
"Product received promptly in a well cushioned envelope.  However quality of nail polish leads me to believe it is either extremely old or had been sitting for a long period of time in extreme temperatures.  Nail polish is extremely watery, not at all glossy even after 3 coats. It is not the quality I am used to when compared to other Essie nail polishes",0
This eye cream is amazing! It's so lightweight and it really helps to reduce the appearance of fine lines and wrinkles. I love the scent and it's not too overpowering. I would definitely recommend this eye cream to anyone.,1
4 out of 5 stars,1
This software is a lifesaver! I'm a student and I use it to help me with my studies. It's so easy to use and it helps me to stay organized. I would highly recommend it to anyone who is a student.,1
I've been using this software for a few months now and I'm really happy with it. It's easy to use and it does everything I need it to do. I would definitely recommend this product to anyone looking for a good software solution.,1
"I'm erasing my former review, writing a new one, and changing my rating from 2-STARS to 3-STARS (meaning okay).  I think the program may possibly be doing what it claims so I also purchased usage for a second year.

I gave one of my older computers to a neighbor kid and used Drive Scrubber to remove everything from the hard drive.  I then used the software that came with the old computer to restore it to a like new condition.  I don't actually know if criminal investigators, or information hackers, can restore any of the erased data or not.  But for me, at least in this instance, it doesn't matter.

But understand, I cannot prove that the program actually works.  For sure, its not perfect.  For one thing, when I analyze a disk before erasing deleted data, its result is over-printed on the text and cannot be read.  This is clearly a glitch in the program.  It existed in the first copy I installed, and it exists in the new copy I installed after removing the first - even after downloading the newest version.  This glitch of course, could be caused by my own computer or other software corrupting the program.  I just don't have the computer knowledge to know one way or the other.

Anyway, the program is cheap, uses little computer resources, and may be performing as advertised.  I just cannot know for sure.  You pay your money and you take your chances.",0
This software is the best! I've been using it for years and it's never let me down. It's so easy to use and it does everything I need it to do. I highly recommend it!,1
I'm really disappointed with this product. It made my skin worse.,1
"This software is amazing! I've been using it for a few weeks now and I'm really impressed with how easy it is to use and how powerful it is. It's helped me to be more organized and productive, and I'm really glad I found it.",1
This mascara is the best I've ever used! It gives me such long and voluminous lashes. I love the way it makes my eyes look. I would definitely recommend this mascara to anyone who is looking for a dramatic and volumizing mascara.,1
"This product is great for the price. It doesn't work as well as some of the more expensive products, but it's still a good option.",1
"I've just received and loaded Quicken Premiere 2011.  My $0.02?  I'd suggest waiting a while before buying this.  Although the interface looks better and provides some nice information at a glance, I tried downloading my transactions from the Digital Federal Credit Union only to see something like: ""Those transactions you want can't be imported right now, but don't fret.  The Quicken team already knows about this screw-up and is already working on a solution for your amusement!  How's about you come back tomorrow, eh?""

Now, I have less important functionality than I had before.  In case you browse the boards, In-Twit, this is a great way to lose customers forever.",0
5 out of 5 stars,1
"This foundation is the best I've ever used. It's so lightweight and it gives me a natural, flawless finish. I love the way it makes my skin look. I would definitely recommend it to others.",1
"This eyeliner is amazing! It's so precise and it gives me a dramatic, smoky eye. I would definitely recommend this product to anyone who is looking for a great eyeliner.",1
This eye cream is the best thing I've ever used for my eyes. It's so hydrating and it helps to reduce the appearance of fine lines and wrinkles. My eyes look so much younger and brighter since I started using it.,1
3 stars,1
"I liked this polish, but I'm not sure it really did what it said - and what I wanted it to do. I expected it to color correct without a lot of additional color, but it really did come out looking very lavender, even after a top coat with another polish in this collection. I like it well enough, but I'm disappointed that it didn't work as expected.",0
This nail polish is the best I've ever used. It's so long-lasting and it doesn't chip or peel. I love the way it makes my nails look so shiny and polished. I would definitely recommend this product to anyone who is looking for a great nail polish.,1
This hand cream is amazing! It makes my hands so soft and smooth. I love the smell of it and it absorbs really quickly. I would definitely recommend this product to anyone looking for a luxurious hand cream.,1
This hand cream is amazing! It's so luxurious and it makes my hands feel so soft and smooth. I love the smell and it's the perfect way to pamper myself. I would definitely recommend this product to anyone.,1
This eyeshadow palette is amazing! The colors are so pigmented and they blend so well together. I love the different looks I can create with this palette. I would definitely recommend this eyeshadow palette to anyone who is looking for a versatile and pigmented eyeshadow palette.,1
This eyeshadow palette is amazing! The colors are so pigmented and they blend so beautifully. I can create so many different looks with it. I love it!,1
This eye cream is the best I've ever used. It's so lightweight and it doesn't irritate my eyes. It's also really effective at reducing puffiness and dark circles. I would definitely recommend this product to anyone looking for an anti-aging eye cream.,1
"It is unconscionable that Intuit makes their software obsolete every three years.  They are clearly milking their customer base because, unfortunately, Quicken is the only game in town - assuming you don't want to put your financial life into someone's hands on the web.  If I had other options for a stand-alone personal finance manager, I would jump at the opportunity to drop Quicken H&B. or any other version of software that is a part of the Quicken product line.  Don't buy Quicken if you can avoid it - or - accept the fact that you'll be buying a new version every three years or living with a deliberately crippled version of the software.",0
This software is amazing! It's so easy to use and it's helped me to be more productive at work. I would definitely recommend this product to anyone.,1
This software is a complete disaster! It's so difficult to use and it doesn't do anything that I need it to do. I would not recommend it to anyone.,1
3 stars,1
I've been using this software for a few months now and I'm really happy with it. It's helped me to manage my finances better and I'm able to track my spending and savings more easily. The software is easy to use and it's very comprehensive. I would definitely recommend this software to anyone who is looking for a way to manage their finances better.,1
"It's a jelly formula which means it takes 6 coats or so to be opaque. I'm super disappointed!!!! I was so excited only to be extremely let down. Awful formula, do not buy. Even over white it just looked ugly and messy.",0
3 out of 5 stars,1
This bronzer is the perfect way to warm up my skin. I love the natural finish and it doesn't look too harsh. I would definitely recommend this product to anyone.,1
This software is great! It's helped me to learn a new language in a very short amount of time. It's so easy to use and it's really fun. I would definitely recommend this software to anyone who wants to learn a new language.,1
4 out of 5 stars,1
This eyeshadow palette is amazing! The colors are so pigmented and they blend so nicely. I would definitely recommend this product to anyone who loves eyeshadow.,1
This foundation is amazing! It's so lightweight and it gives me a flawless finish. I love the way it looks on my skin. I would definitely recommend this foundation to anyone who is looking for a long-lasting foundation.,1
"This software is the perfect solution for my business. It's easy to use and it's very powerful. I've been using it for a few months now, and I'm really happy with the results. I would definitely recommend it to anyone who is looking for a great software solution.",1
5 out of 5,1
I've been using this software for a few years now and I'm still very happy with it. It's very reliable and it does everything I need it to do. I would definitely recommend this product to anyone who is looking for a reliable and affordable software solution.,1
This hand cream is just okay. It's not as moisturizing as I would like it to be and it doesn't have much of a scent. I would not recommend this product to anyone.,1
"This software is a complete waste of time. It's buggy, slow, and doesn't do what it's supposed to do. I would not recommend this software to anyone.",1
This software is a piece of crap! It's so buggy and it crashes all the time. I would not recommend it to anyone.,1
"This mascara is amazing! It gives me such long, voluminous lashes. I can't believe how much better my eyes look.",1
It's OK but too big for my hair and didn't heat up as well as my old rusk curling iron.,0
3 out of 5 stars,1
Meh. Doesn't last very long.,0
"I've used lots of glycolic pads, even stronger than these,  and yet these are the only ones that burn my skin.  I could tolerate it if they worked.",0
It does what it's meant to do. I got it for my dad because he wanted it for extra protection. I personally find anti-viruses useless... it's for people that go onto random websites all the time and download too much porn or just simply doesn't know how to keep their computer clean. It won't stop someone from hacking into your computer if they really wanted to. It just stops the malware and some viruses.,0
This lipstick is the perfect shade of red for me. It's so flattering and it makes my lips look so much more luscious. I love it!,1
This hair product is the best thing ever! It makes my hair so soft and manageable. I love the way it makes my hair look. I would definitely recommend it to anyone.,1
4 out of 5 stars,1
I've been using this software for a few weeks now and I'm really impressed with how well it works. It's easy to use and it's helped me to be more organized and productive. I would definitely recommend this software to anyone looking for a way to improve their productivity.,1
"Clumsy interface and poorly designed. After using it, it told me I had to pay Federal and State taxes. I took my paperwork to a CPA and received a refund form both! Save your money and take your taxes to a qualified tax preparer.",0
This blush is amazing! It's so lightweight and it gives me a natural-looking flush. It also has a beautiful color. I would definitely recommend this product to anyone.,1
This makeup remover is so gentle and it removes all of my makeup without leaving my skin feeling dry or irritated. I would definitely recommend this product to anyone who is looking for a high-quality makeup remover.,1
This mascara is amazing! It gives me such a long and voluminous lash. I love the formula and it doesn't smudge or flake. I would definitely recommend this product to anyone.,1
I've been using this software for a few months now and I'm really happy with it. It's helped me to organize my life and I'm able to be more productive. I would definitely recommend this product to anyone.,1
This mascara is the best thing I've ever used. It gives me such long and voluminous lashes. I love it! I would definitely recommend it to others.,1
"Made the earlier mistake of buying and installing the new PrintMaster on our new computer, only to discover that the new versions can't read the earlier version's files (Broderbund, WHY???), so I had to buy another copy of version 18.1 to access the old files.  Also noted that the new version had considerable limitations as compared to the old version.  Glad I was able to find the old version on Amazon.  We're now back in business.",0
This eye cream is so expensive and it doesn't do anything. My eyes are still just as dry and wrinkled as they were before I started using it. I would definitely not recommend this eye cream to anyone.,1
This hand cream is amazing! It's so luxurious and it makes my hands feel so soft and smooth. I love the scent and it lasts all day long. I would definitely recommend this product to anyone who is looking for a great hand cream.,1
3 out of 5 stars,1
This eye cream is amazing! It's so lightweight and it doesn't irritate my eyes. My eyes look so much brighter and more awake after using it. I love the way it smells too. It's the perfect eye cream for everyday use.,1
3 out of 5,1
This eyeshadow palette is so beautiful! The colors are so vibrant and they blend really well together. I love the way it makes my eyes look. I would definitely recommend this product to anyone who is looking for a high-quality eyeshadow palette.,1
This hand cream is a complete rip-off. It's so expensive and it doesn't do anything for my hands. I would not recommend this product to anyone.,1
This hand cream is amazing! It's so moisturizing and it leaves my hands feeling soft and smooth. I love the smell of it too. I would definitely recommend this product to anyone.,1
This software is a lifesaver! I use it for everything from managing my finances to planning my day. It's so easy to use and it's helped me to be more organized and productive.,1
I was really disappointed with this software. It's very buggy and it crashes all the time. I've tried to contact customer support but they've been useless. I would not recommend this software to anyone.,1
This software is exactly what I needed. It's so easy to use and it does exactly what I need it to do. I would definitely recommend this product to anyone.,1
4 out of 5 stars,1
This software is a complete nightmare. It's so difficult to use and it's constantly crashing. I would not recommend this product to anyone.,1
This hand cream is amazing! It's so moisturizing and it makes my hands feel so soft and smooth. I love the way it smells and it's the perfect way to pamper myself after a long day.,1
This software is so slow and clunky. It's impossible to use it for anything productive. I would not recommend this product to anyone.,1
"It is super humid in this area of Texas and it really didn't do to much for my hair. I will use it, but will see if my daughter has better luck with this. Did not control my fly aways.",0
This software is the best! It's so powerful and it's helped me to be more productive at work. I would definitely recommend this software to anyone who is looking for a way to be more productive.,1
"This software is a complete waste of time. It's buggy, slow, and doesn't do anything that I can't do with a spreadsheet. I would not recommend it to anyone.",1
"i switched from bitdefender last year as i got tired of their spam. so i went with kaspersky based on reviews on tech zines. i was very happy with it last year and so went ahead and went with them again this time around. i am happy with how the product, how it works and the lack of spam. that said i was not happy with their customer service. i had a ""glitch"" when registering the update and they sent me an email saying to contact them before installing on other devices. problem was i could not reply to the address they used, then every other attempt to follow their instructions was met by the following, ""sorry we can't help you try this dept."" WHAT?! you contacted me?! the product itself i would have given five stars but the black hole they call their customer service department,..nothing ever gets in our out e.g. the analogy used.",0
This hand cream is amazing! It's so luxurious and it makes my hands feel so soft and smooth. I love the smell of it and it's the perfect way to pamper myself. I would definitely recommend this hand cream to anyone.,1
Not so happy. The song never downloaded to my computer. The download went on for thirty five minutes. I still didn't get the music. I have broadbans so what is the problem here? Shane,0
"I just finished my federal/state return on TurboTax and the experience motivates me to seek an alternate supplier for my next year's filing.

To my surprise, this year's edition of TurboTax appears to be harder to use, more cumbersome, less trustworthy than the previous year's.

- Entries that I had little difficulty filing last year - local income tax (yes, we have that) paid to the local tax collector but not recorded on the W2 - were buried in a maze of difficult to comprehend options hiding behind the cheerful, 'easy to use' interface.
- Information, once entered, is sometimes hard to retrieve or readjust. The program creates dozens of worksheets and forms, most of them useless or unneeded and it's not easy to get to the source entry for some specific item of information. It's all in there, mind you, but so is the needle hiding in that proverbial haystack.
- Attempts to revise or check information force a choice between plunging into the 'user-friendly' and largely redundant branch or the confusing maze of inter-connected forms, schedules and worksheets where it's difficult to impossible to anticipate the consequences of adjusting some specific figure to the return overall.
- The program seems to be generating its own errors by creating worksheets on its own and then, when error-checking is run, finding that it doesn't have sufficient information to back... nothing. For example, it didn't know how much income did I generate by using my house as a home office, even though I never even HINTED that I did that.
- The HELP engine that comes with the program is almost completely useless and its online branches are from 'inconsistent' to 'frustrating' to 'maddening'. For example. I was able to find some online discussions on how to enter my local income tax amount but I had to spend some precious time navigating through the HELP maze. In may case, I found another customer's advice but, it turns out, in most cases, you must first crate a UserID on the 'LiveCommunity'. And, of course, for ONLY $29.95 some 'live' adviser would be happily and cheerfully answer any basic question that you may have that the HELP facility should have included to begin with.

I am lucky because my tax return is relatively simple but I can see how much more frustrating the experience could be for those whose tax return needs are more sophisticated than mine.

I've been a TurboTax user for more years than I can remember but it is unlikely that I will be using TurboTax next year.",0
Upgraded to Windows 8 from a very stable Windows 7 systematic.  Now my computer constantly crashes and is plagued by several issues like I cannot shutdown without using the power button.  I feel like i am a beta tester.,0
"After 5 days i got a rash on my face and i had to stop it .
20% is way tooo strong to be used everydays .
I think you can only use it twice a week .
The body cream did the same and i had to put cortisone .
Its a good cream but have to be carefull",0
3 out of 5 stars,1
This software is a complete disaster! It's so difficult to use and it's made my life more stressful. I would definitely not recommend this software to anyone.,1
I've been using this software for a few months now and I'm really happy with it. It's easy to use and it does everything I need it to do. I would definitely recommend it to anyone looking for a good software product.,1
This software is great! It's easy to use and it does exactly what I need it to do. I would definitely recommend this software to anyone who is looking for a reliable and affordable solution.,1
This software is great! It's easy to use and it does exactly what I need it to do. I would definitely recommend this product to anyone.,1
"This software is a complete waste of money. It's so buggy and unreliable, I can't believe anyone would pay for it. I would not recommend it to anyone, no matter what their needs are.",1
3 out of 5 stars,1
This eyeliner is so precise and it makes my eyes look so much bigger. I love the waterproof formula and it doesn't smudge or run.,1
This perfume is the best I've ever smelled. It's so unique and it makes me feel so glamorous. I love it!,1
"This hand cream is amazing! It's so soft and moisturizing, and it leaves my hands feeling amazing. I love the scent too. I would definitely recommend this product to anyone looking for a good hand cream.",1
This eyeshadow palette is amazing. The colors are so pigmented and blendable. I love the way it looks on my eyes. I would definitely recommend it to anyone looking for a high-quality eyeshadow palette.,1
I've been using this software for a few years now and I'm still really happy with it. It's a great tool for managing my finances and I've been able to save a lot of money using it.,1
5 stars,1
No Macs,0
"This stuff BURNS if you have sensitive skin. I tried to use this before going back on Accutane, and I had to not wash my face for several days for my skin to stop being red, flakey, and insanely irritated. After this, even cleansing oils and balms were too much and would sizzle, I was very disappointed because I love the PCA brand.",0
This eye cream is the best I've ever used. It's so lightweight and it doesn't irritate my skin. I've been using it for a few weeks now and I've noticed a significant reduction in the appearance of my fine lines and wrinkles. I would definitely recommend this eye cream to anyone who is looking for an anti-aging eye cream.,1
This software is a complete waste of time. It's so buggy and slow that it's unusable. I would not recommend it to anyone.,1
"This is a good product for the price. It's not the best I've ever used, but it's definitely worth the money. It's helped to improve the appearance of my skin, but I wouldn't expect it to work miracles.",1
Goes on easy and makes my nails shine. Only gave it 4 stars because Sally Hansen top coat just as good and less expensive,0
