text,label
我很遗憾，作为一个老苏州，今年10.1之前只吃过一次，而且印象不深！此次亲戚请客，叫我点菜，典型的苏帮菜馆，我咋一看菜单觉得不便宜，但是点单之后菜上来了，我觉得真心很值！首先，它的菜味道几乎个个都不错，虾仁我觉得真的很好吃！！美味！！凉菜里面的萝卜很不错，我很喜欢！！还有，因为本人喜欢吃辣，木桶肥牛真的不算辣，真的很好吃！！太好吃了！！觉得性价比高，缺点就是酒店太小，桌子与桌子之间几乎只能单人通过（也是生意太好的缘故吧），停车有点拥挤虽然有人指挥，唯一遗憾的是作为大众铁粉居然此店没有大众点评优惠！！总而言之，好吃！！希望店家再接再厉，发扬俺们苏帮菜与众不同之处！！,0
这家餐厅的意大利菜绝对是纯正的味道。我们尝试了他们的炭烤牛排意面，牛排煮得刚刚好，配料丰富。我还喜欢他们的慢炖番茄意大利酱，浓郁酸甜，口味十分独特。再一次品味到了美食的魅力！,1
老家肉饼：这家小吃店的煎饼果子和肉饼真是太好吃了！煎饼金黄酥脆，内馅丰富可口；肉饼肉质鲜嫩，独特的调料让人回味无穷。价格便宜，吃得过瘾！,1
装修精致考究，每一个角落都充满了西班牙风情。,1
艮山水乡：这家餐厅环境幽雅，菜品精致。推荐他们的西湖醋鱼和油爆虾，都是非常地道的浙菜。我还特别爱他们的椒盐鱼头，外脆里嫩，一口咬下去，真是美味无比。,1
这家店原来不是阿姨奶茶嘛，什么时候变阿叔奶茶啦，原来八佰伴那边的阿叔倒关了门，这里新开了一家了，也好，交通方便的很，以后想吃芋头奶茶有去处了。\\r\\n最早接触这个牌子是在福州路上，有家门店装修了半天，招牌挂了拆，拆了挂，就叫阿叔，当时还笑了半天，说，和阿姨对着干啊，叫阿叔。\\r\\n笑归笑，这家的芋头奶茶真的很好喝，就是现在价格涨的吓人，不大的一杯要卖12元，芋头3块，味道依旧好喝。\\r\\n其他的没尝试过几样，奶茶的底都是一样的，就是放的其他材料不一样罢了。,0
最近这家店真是火的不要不要的，排队也是好疯狂！一到五点前面十几桌排位，不等一个多小时进不去。点了招牌的羊肉串，羊排，大盘鸡和香馕。羊肉串4元一串，真心不错，推荐！大盘鸡点的小份的，份量已经很多了，味道也很棒，皮带面下到里面很好吃。羊排两个女生点的大份的，点菜的时候服务员建议我们不要点这么多，服务员小王很棒，热情又细心，我们说不要紧吃不完打包，羊排对于我们来说太肥啦，我们更偏爱那种烤的焦一些，入味一些的羊排。馕的味道有股子好像羊骚味，烤的挺脆的，当主食吃不错。装修很有特色，有异域风情的味道，总之体验不错，下次回头客。,0
这家店排队特别恐怖！！提前下午4点20左右到店拿号，然后去健身房跑步，后来大概是6点半左右到店，还等了50分钟左右。所以是要排三个小时。建议想吃的小伙伴早点拿号。\\n店里环境很好，刚进门就看到有人在谈琵琶还是什么，服务员也穿的比较“古色古香”。\\n『越式文火小牛肉』68米。端上来的时候有点烟雾缭绕的感觉，其实量很少，也就10块牛肉的感觉，里面是配的荔枝。不用于常规的牛肉口感，吃菜可以偏甜的伙伴可以试试。不过牛肉味还是蛮浓的。\\n『红糖麻糍』本人很爱吃糯米的糕点，所以很喜欢这个的咯。表面是裹得花生碎，不会特别软，咬下去也不粘牙，甜而不腻。好吃！\\n『广式秋葵』比较清爽的一道蔬菜，适合喊着要减肥的女生！\\n『慕斯豆腐』就是三块豆腐配上不同的酱料，现在已经想不起来味道了。不是特别推荐！\\n『翡翠葱煎包』本来就是喊着减肥的那个，奈何有颗吃货的心。18米6个，晚上不吃主食的人，还是忍不住尝了一小口，吃到嘴巴里是觉得好吃的，具体什么味道却不记得了。一起去的小伙伴是觉得还可以。\\n『西湖醋鱼』经常吃杭帮菜的人却是第一吃点西湖醋鱼，原来这个鱼是没有刺的，哈哈。鱼肉是比较鲜嫩的，但还是不是特别喜欢上面淋的汁。\\n『风味炒米粉』刚端上来样子不吃，但是打开吃也就是炒米粉而已。味道一般般。\\n\\n三个人一共才吃了240多，果然杭帮菜便宜。印象最深的居然是红糖麻糍。。不用排那么久的队，还想再去吃。,0
进门咣的一声锣鼓，整个人的随之一震了跟老公一起到西安玩了几天，最后一顿到了这里，以前到过南京大牌档，感觉是差不多的。根据大众点评上的推荐点了菜，现在也给大家推荐我们心怡的菜哈，长安葫芦鸡，皮又脆又香，蘸了香料更加好吃~西府一口香，其实是六碗面条，酸酸的味口，非常解腻，老公一口气解决了三碗~同洲枣沫糊，很香的红枣味~还有就是砂锅，我们吃的是纯素的砂锅，吃完嘴巴跟舌头都会麻麻的，老公很是逗乐，吃了麻，过会不麻了再吃，过会再吃~当然还有羊肉串啦，嫩嫩的…吃饭的同时，一直还有秦腔的表演跟茶艺的表演，感觉超值！祝生意兴隆啊,0
地址很方便，价格感觉也很实惠。凭卡可以限量领螃蟹一只，生蚝一只，鲍鱼捞饭一份。螃蟹和生蚝都不太新鲜，鲍鱼实在难吃。自助的种类比较多，有水果、果汁、韩式烤肉、凉菜和简单的海鲜寿司。果汁看着好像鲜榨的，其实掺水厉害。韩式烤肉实在难吃。寿司比鲜目录都差好多。我在想，这种50元以内的自助餐，真的只能做这种质量差但品种丰盛的路线，否则是无法盈利的。对于希望便宜价格又吃多种菜品的同学很方便。但对于想吃美食的，真的还是吃高档自助或者单项的餐厅更为合适。,0
位于万象城6楼，中午去的，店里并没有什么人，可服务员都是一付爱理不理的样子，等到人多一些了就更叫不到服务员了。菜品来说，芒果牛肉粒还可以，只是芒果略酸，牛肉裹粉太厚，吃起来口感不好；蓝莓山药味道还可以，山药磨得很细，应该还加了薄荷，味道很清爽感觉最好吃的就是青菜和米饭了，点了蒜蓉炒菜心，菜心很甜很新鲜，就是油放得有点多。环境还是挺不错的，但是万象城的乌布没有青山店的乌布环境好，建议要去还是去青山店。,0
餐厅的价格相对来说有些昂贵，但是绝对物有所值。食材和用餐体验都非常棒。,1
假期外地朋友来青岛，带着他们吃地道海鲜，下了火车真奔翠华家，位置靠近火车站，很方便，这两天人正赶上假日，人比较多，门面不是很大，但是很干净，菜品以海鲜为主。\\n#红烧鲍鱼# 新鲜的鲍鱼红烧做法，相当好吃。\\n#蒜蓉生蚝# 海蛎子相当的肥，一份量不少，蒜蓉做法不失海蛎子的鲜嫩。\\n#辣炒蛤蜊# 又辣又鲜又爽，朋友们都说好吃。\\n#清蒸梭子蟹# 正是大螃蟹肥的时候，清蒸几个，满口活，相当给力。\\n海鲜特色，和朋友又喝了扎啤，很愉快的时光。,0
这里的果汁新鲜美味，特别是他们的橙汁，酸甜可口。,1
午饭吃的晚，并不很饿，朋友热情推荐了这家素食店，尝鲜而已。本来我是肉食爱好者，对素食并不特别喜好，但也不排斥，而且觉得年纪渐长，对素菜和蔬菜接受能力变强了，所以也是欣然前往。这家是自助形式，价格比较实惠，据说每天吃不完的菜会分给流浪者吃，我觉得这个超好，实实在在的善行如今有多少会做呢。店里吃的东西算是挺多的，主食炒菜汤面水果饮料都有，大多点心味道还都不错。我虽爱肉食但却不吃肥肉，素的点心可以让我放心大嚼，没有吃到肥肉的危险，倒是格外畅快,0
这家餐厅的泰式酸辣蔬菜汤非常开胃，味道鲜美，冬天来一碗暖胃。,1
8锅臭臭锅来自台湾，在新会开店时已经略有所闻，现在江门开店当然少不了我这个吃货去鉴定\\^O^/江门店就在一汇广场内，有地下停车场供小车停，路边与广场内都有摩托车停车位，很方便。那天我是加班后才去的，当时已经差不多8点，进店后依旧人声鼎沸，坐下后不久就满员了。店家推荐非臭臭锅莫属，但我还是没有勇气点，因为试过的朋友多数都说不好吃，可能我们不太适应这种口味，就点了海鲜豆腐锅、台式麻辣锅、柠檬红茶、黄金绿茶，配上粉丝、泡面，上菜是每人一锅，下面用小蜡烛保持锅内温度，对比一般火锅的好处就是不会感到很热，各人可以按自己口味筛选汤底，一人一锅也相对卫生，不用一堆人洗筷子。绿茶应该不是调配，味道像统一茉莉绿茶，很大一杯。我点的海鲜锅内有很多食材：虾、鱼豆腐、鸡蛋、蟹柳、娃娃菜、金针菇、肥牛、白豆腐、花甲、鲜鱿鱼等，汤汁清香，份量足，食材新鲜，最喜欢鱼豆腐，咬下去非常弹牙爽口，汤汁渗出来的感觉很赞！以后想吃火锅，首选8锅*^_^*,0
这家餐厅的法式焗扇贝非常美味，扇贝的口感鲜嫩，搭配的调料很赞。,1
中的他家的霸王餐，很荣幸。位置在艺术家园小区的东南角，招牌很醒目，骚烤。交通便利，附近有轻轨，有公交150，105等，距离奥体中心地铁站也不远。试吃的菜品种类丰富，有肉类，有羊腰子，有羊枪，地瓜片等等，最爱他家的各种拌菜，推荐的有拌墨斗，拌明太鱼，拌鸡胗，拌猪皮，那个肠可以有两种吃法，直接吃和烤着吃，喜欢直接吃。拌饭味道也不错，属于老式拌饭，里面的东西不多，味道还行，他家美中不足是烤肉用的炉子实在是太小了，不适合人多聚餐用。,0
就在铁二小旁边，门面不是特别大，但是店面却非常的干净，一家非常用心做生意的店！所用原料也特别讲究，牛奶伊利的，面粉油也全部出自于大厂牌的产品，不会为了节省成本用一些小作坊的东西！良心卖家！买面包时还特意参观了一下面包制作的操作间，所有制作模具都清洗的非常干净，操作台面每个地方都收拾的干干净净的，在她家购买面包这样吃到肚子里的东西卫生安全绝对可以放心！老板在用料也非常的足，给消费者最大的实惠，做出来的面包也特别用心！店家服务也超级好对待每一位顾客都非常热情，认真接待每一位顾客根据顾客不同的需求介绍不同的口味！她家不仅有大的手撕面包，还满足一些便于携带早餐用量小的顾客推出的小的面包，味道也是棒棒哒！刚烤出来的的面包有着金黄色的光泽，散发出诱人的香甜！忍不住咽口水，吃起来软软的，香香的，不会特别甜，不像一些小面包房做出来那么甜的发腻!口感真的超级赞！我喜欢吃椰蓉味道的面包，每次都会买上一个价格也不贵五块钱就能买上这么大一个面包感觉挺经济实惠的!离家也近，经常路过那里，购买也特别方便！家在八一路附近住的朋友来这里购买面包绝对是个不错的选择！经济实惠!好吃不贵!干净卫生！,0
黄记煌算得上是抚州比较好吃的焖锅，就是价格高和分量少。5个人吃了307元，还没吃到什么，点了牛肉、牛蛙、鸡翅、金针菇、虾五样，点了两份手工面，两份京味饼才勉强喂饱大家。不过国庆期间他们店搞的活动有点意思，根据身高来打折，但是打折的限定有点不合理，男的170-180也才是8.8折，170和180相差10公分都是一样的价格，在抚州这种小地方7.8折看样子是很少了。但作为女的我可以打到7.8折很开心哦，哈哈！这活动有意思，国庆肯定会去的！,0
这家餐馆的广东糖水非常地道。我尝试了他们的花豆沙和杨枝甘露，甜度适中，口感醇厚。他们的糖水种类繁多，选择多样。服务态度热情周到，是一家不容错过的餐馆。,1
这家店的炸云吞好吃！外皮酥脆，内馅鲜美。,1
太平洋海鲜酒家（5星）：这是我吃过的最好的广东菜餐厅之一。他们的海鲜新鲜，烹饪技巧高超。他们的糖醋排骨和龙虾都非常美味。店内环境优雅，服务态度也很好。,1
昨个前个都在他家，生意挺好的，环境也蛮有情调，二楼还有女装可供选购。特别是前天去的时候，我们点了卡布基诺和花式拿铁。没想到，卡布的小熊拉花如此可爱，太萌了，不忍下口。拿铁的的爱心枫叶也拉的不错，牛奶和咖啡调和的很融洽，珉一口，淡淡的奶香。水果沙拉色彩鲜明，造型有点像韩剧的美食哈。就是，第一天的沙拉酱放了略少了些。不过，丰富的食材并不影响口感，90分。第二天又去了，这次拉花较普通，可是咖啡依旧好喝。那个啥奶酪蛋糕来着，口感类似拿破仑，太好吃了。水果拼盘的花边橘子换成了橙子，色彩更绚丽，而且口味更佳。赞赞的，值得一去啊。,0
这里的土耳其烤鸡配土豆泥非常好吃。鸡肉鲜嫩多汁，配上香浓的土豆泥，口感绝佳，让人一次爱上。,1
这家店的刺身味道一流！新鲜的海鲜口感非常棒。,1
这家店很好找，就在南泉北路和商城路的交叉口。乘电梯到三楼，一扇精致的门进去，里面的装修和摆设看得出是花了一番心思的。服务员领位到大厅，其实就是一个露台改造的玻璃房，窗外就对着路口。\\n点了一些他家的招牌菜，味道确实不错哦。糖醋小排酸酸甜甜很开胃，熏鱼炸的很酥脆再浸满了微甜的酱汁，腌萝卜爽脆可口，龙虾伊面奶香味浓郁，特别是面条拌着龙虾的鲜香，一口一口停不下来。乳鸽也是必须要赞的，皮脆肉酥。还有红烧肉，四四方方一块，色泽红润光泽，肥瘦相间，酥软而不腻。俗话说一分价钱一分货，果真如此。等下回腐败，还会考虑来此。,0
最近几天百度外卖上做活动，917优惠啊，椒麻鸡一份才9.17，超级无敌实惠，本来想着说，那么便宜会不会就一点，没想到是满满一饭盒啊！太实惠了！当然这不是重点，味道很出人意外！本来以为是麻辣咸香口的，没想到是酸甜口！吃第一口甚是震惊啊，口感独特！入口的第一反应是甜，然后又酸～最后又有丝丝咸味，非常不错！只是我不爱甜口，吃不多，但是客观来说，真是一道很不错的菜！还有天王烧鸭包，之前一直没机会吃到，虽然吃不出鸭子味儿，但是也还不错！薄皮大馅儿！南瓜小米粥也不错，味甜，熬的浓稠～口感很好！,0
自从在合肥吃了很好吃的蟹黄包后，后来就一直想吃蟹黄包，找到了这家，位于保利城牛津大道，就是五一路拐进去那条路靠近右手边，注意看一下就看到了。\\n团购的单人套餐：蟹黄包：很好吃，确实已经有江苏一带的那个味了，蟹黄稍微少一点，味道够，不沾酱油醋都可以了，我觉得全国各地所有包子真就是江苏一带小笼汤包最好吃了。馄饨：比起包子确实逊色不少，汤头清淡，肉不脆，比不上玉林云吞的口感。\\n店子环境还行，小店比较干净，老板娘服务态度一般，没有笑容，不冷不热。,0
麦当劳位于胜利路28号地王广场首层1002铺，处于市中心繁华地段，交通非常便利，14号下班在地王下车后就去麦当劳打包了原味板烧鸡腿堡套餐，因为交通的原因，怕回家的路途塞车会饿肚子，所以打包一份麦当劳套餐治肚子，坐上打大巴已是7点45分，在车上好好地享受我的晚餐，那一刻吃得非常美味，最喜欢吃麦当劳的原味板烧鸡腿堡，怎么也吃不腻。肉的口感一如既往地好，还有青菜和沙律酱也很到位，平时没事逛逛麦当劳，过把口瘾也不错，这个月的活动特别多，还有薯条买一送一，奇异果新地也是买一送一，活动多多，优惠多多。,0
Sea里面逛了大半天，不是排队玩游戏，就是急着拿fastpass，不知不觉过了午饭的饭店，刚拿了忿怒双神的fastpass，有了空闲的时间，就来这里对付午餐了，下午2点多，人还是比较多，不过点完餐还是能找到位子，饿得时候什么都好吃，不过薰鸡肉真的还是，以致只点了一块蛋糕的女儿，把我点的鸡肉都吃光了，以致于晚餐的时候她直接点了一只烤鸡（当然是在另一家餐厅）。餐厅的环境嘛，自然是迎合失落河三角洲遗迹的摸样，貌视在幽暗的古墓中。价格嘛也不贵，类似肯德基麦当劳。,0
环境比想象中差一些，毕竟在金茂这边，6楼的餐厅只是在过道围了一圈桌椅，没什么特别的布置 和淮海店南京店不能相提并论，本来十月四号怕约不到才选的金茂店终于知道它人少的原因了…菜色不错，没有特别难以下咽的，就是蟹上桌时说要拆，服务员说拆的人太多了建议我们自己拆，后来有4只我们自己拆了，来这里吃蟹其实就是怕麻烦懒的拆，下次建议提早上蟹不耽顾客吃饭进度，蟹不大，蟹粉小笼汤汁很多，蟹粉面都是花生酱的味道没有蟹味，不过味道挺好的 最后的冰枣很爽口,0
今天是因为工作日的原因，我和男票去的时候人不多，一进店门就能够听到轻柔的日本纯音乐，装修的风格也是日式的，店内装修主打淡色，很清爽，最喜欢他们家墙壁的颜色，浅绿色哒！\\n   先点单，我们点的是咖喱牛腩套餐和筒骨拉面套餐！\\n   咖喱牛腩原价56，现在特价活动46，口味真的很正宗，浓浓的咖喱汁浇在米饭上，真的美极了，这里特地强调一下，他们家的米饭也是比较特别的，据说是选用日本的越光大米，（好神奇的样子，好像穿越的米一样，偷笑）大米香糯可口，光吃都好吃，套餐配的东西还有小菜中华海藻和腌制的白萝卜，爽脆可口，水果哈密瓜和火龙果也是超甜的，蔬菜沙拉，用的啥酱？没看明白，也不错，还有海鲜蒸蛋，很丰盛！\\n      再说筒骨拉面，原价28，现在28，汤是用筒子骨熬出来的，上面放的是猪颈肉，还有卤蛋半个，西红柿和樱花糕各几片，包菜丝少许！汤浓面爽滑，不错不错！配的其他东西都一样！\\n      饮料8块钱一瓶，金桔柠檬！\\n      我们选坐在沙发位置很舒服！顶上的灯也很漂亮！,0
口味：酸辣牛蛙-总体不错，是今年的新菜式，但铺底的金针菇真是太咸了，我这么重口味的都有点受不了，但牛蛙又要煮一会才入味，主厨有特地过来询问，很诚恳的接受了意见，超赞的！半份酱椒鱼头-这是每次来基本都要点的，真的很好吃，鱼肉鲜嫩，口味适中，还可以下一碗清水面拌在里面，味道杠杠的！有机花菜-满满的孜然味，很香，但稍微炒干了一点，有待进步。环境：侯家塘店有两层，一层比较简单统一，二层做了阅读花园的模式，适合下午茶和等人，而且书都分类了，很清楚方便。服务：反应迅速，态度极佳，关键是一种鲜肉美女，还有“长草”神奇，主厨的贴心调查让自己很有存在感。全单101，优惠后78，实在是实惠！,0
香椰椒餐厅的印度菜是我无法忘怀的！他们的咖喱精心炮制，味道醇厚，辣度适中。我特别推荐他们的椰汁饭和咖喱鸡，太美味了！服务员亲切友好，餐厅整洁干净。如果你想尝试正宗的印度美食，来这里是明智的选择！,1
我在这家餐厅尝试了他们的特色烤鸡，真是太美味了！鸡肉鲜嫩多汁，调味恰到好处，烤制得非常完美。店内的装修非常有特色，氛围温馨。服务员的服务态度也非常好。下次还会再来品尝其他土耳其美食。,1
外婆家是一家贫民化的餐饮品牌，以前去杭州的时候到他家吃过，各项感觉很好，主要以杭帮菜为主。当时多么希望苏州能够有，后来果然入住印象城四楼了。之后一发不可收拾，在新苏天地，圆融星座相继开出连锁店，让苏城的大伙着实爽的一把。每次去外婆家，都是叫号排队，有时排到百号之外了，大家还是心甘情愿的等候。每次去都得点蒜蓉粉丝虾，有机花菜，龙井虾仁，麻婆豆腐，剁椒鱼头，茶香鸡，外婆红烧肉等等，总之好吃的很多。服务员的态度也很不错，非常热情，对我们顾客的要求也是有求必应。个人感觉，如果要吃的话，还是赶早，去晚了不仅要排队，有的菜到最后也没有了，会感觉有一点点失落感。总之，外婆家的感觉还是超棒的，今后还会继续光顾。,0
石锅拌饭独具特色，米饭煮得香糯。配料丰富，有炸鸡、辣白菜等可选。价格适中，份量足。,1
他们的虾仁沙拉是一道轻盈而美味的开胃菜。,1
这家餐厅的炒酸辣粉丝非常好吃，粉丝口感劲道，调料味道正宗。,1
非常高兴被抽中大众点评霸王餐。我觉得陈火锅的霸王餐是双人餐，可见商家的诚意非常大。首先，地理位置，它处于宁山路与西江街交汇口，位于宁山路的北方，位置好找。其次，这个是免预约的，到了以后店员接待很好，没有差别对待。再次，菜品质量算是不错的。陈火锅之前在碧塘公园那的时候非常火爆，我曾经去过，这次觉得虽然时过境迁，竞争激烈，但陈火锅的味道还是不错的。套餐中最有特色的就是鸭血，大家可见图片，鸭血新鲜，口感弹软，嫩滑。酥肉也是一大特色，据说这原本是四川人家给小孩吃的零食，将肥瘦肉切片，裹上面粉入锅炸香，吃的时候放红锅涮烫，酥软并济，肉香满满。四川贡菜也是非常有特色的一道菜，也是营养价值非常大的。其他的肉片，羊肉鲜嫩，牛肉虽然片厚，但是很快就熟，口感不错，青菜也都不错，我老姨特意看看，洗的很干净。最后，一句话评价，陈火锅仍旧是非常有特色的四川火锅店，推荐大家来尝尝。,0
第一次来中贸广场，在附近买饮料，就注意到这家店了。两家共用一个门头，一边卖饮品，一边买蛋糕，相安无事。当天买饮料的时候，老板还热心的让我品尝了蛋糕，当时吃太饱了，没感觉。\\n\\n后来这个古早味蛋糕被很多人认可并捧红，尤其在某抢购网站更是炙手可热。我回忆了一下，我才是最早一批吃过这家蛋糕的人！！！口哼~~~\\n\\n再次来到中贸，觉得不买一块蛋糕有点白来一次，赶紧搜下团购，原味15元一块，巧克力的19.5一块，果断买块巧克力的。\\n\\n巧克力的揍死美！表面的巧克力豆豆是好时巧克力那种形状的，蛋糕的横切面可见些许巧克力馅心。\\n\\n快速验证，打包，牛皮纸盒手提很方便，塑料刀也给配好了。\\n\\n提在手里，还蛮有分量大，感觉没有一斤也有八两。\\n\\n回家吃吃吃，早餐切两片吃就够啦，蛋糕绵软，巧克力豆香脆，好原料做出的好味道，良心价！！！\\n\\n听说糯米的团购更便宜。。。,0
这家餐厅的广东炒面很好吃，面条炒得香脆，配料很丰富。,1
店家位于北海道札幌市中央区南3条西2丁目7 2F，用餐营业时间：午餐11:30-15:30；晚餐17:00-23：30周边交通便利。\\n\\n   通过药妆店的服务员推荐到了这里，我们是中午饭点来的，顾客很是多都排在了门口，我们等候了一个小时才吃上。服务员见我们是中国顾客贴心拿来了中文菜单。\\n\\n   店面精致灯光柔和，门口卡通风格的布置很是讨人喜欢，餐厅店员大多为充满活力的年轻人，这家汤咖喱菜单特色在可以自由组合主菜和配菜，主菜可选择鸡腿肉、蘑菇、培根、羊肉、鱼肉、全素等。点好菜后从1-5等级中选择辣度，米饭也分大中小可随意组合。\\n\\n  不同于一般印象中粘稠浓郁的外观，汤咖喱汤头清爽辛香，配合大块食材和蔬菜以及菌类更为丰富，很有卖相让人食欲大开。配合咖喱汤打底做出的喷香米饭，可一次吃到咖喱肉菜饭的绝妙组合。,0
老郑湘菜馆：他们的湖南菜绝对是高品质的代表！鱼香肉丝入口鲜嫩多汁，回锅肉香脆可口。服务员热情周到，饭菜价格适中。如果你是湘菜的忠实粉丝，一定不能错过这家餐馆。,1
这家餐馆的广东粿条非常好吃。我尝试了他们的干炒牛河和炒米粉，口感细滑有嚼劲。他们的煲仔饭也很赞，饭底酥脆，配料丰富。服务员态度友好热情，下次一定再来。,1
"最近体重暴增啊！晚上八点还没吃饭，两小时家务累得腰酸背痛，饥肠辘辘，大浑南好吃的不多，尤其我家周围饭店也少，合计来合计去还得吃顿好的，体重……就让她去吧，爱咋涨咋涨！\\n大舜火锅就在附近，隔条街就是，第一次去,以\\n前都是路过，晚上八点多人还很多。想必东西一定很好吃。\\n进门二楼散台落座点餐。某网有限时折扣156四人套餐，蛮划算的，很纠结是单点还是团购，服务员说团购合适，一条鱼都78呢，那就团购吧，当时就想着吃不完也比单点合适。结果一上菜傻眼了，累死也吃不完的。\\n店员介绍400亩农场有机菜专供自家饭店应该是真的，蔬菜都是虫眼，嘻嘻，虫虫吃完我们再吃，健康！鱼丸虾丸做的也不错，小孩子比较爱吃，肉品到没觉得出奇，斑鱼不错。有些菜没吃就直接打包了！总觉得浪费是犯罪。水果质量好，特甜，竟然来了两份，小朋友喜欢西瓜，告诉我咱吃不完可以打包啊！嗯，好样的！\\n家门口有这样一个火锅店还是很方便滴！下次去试试铁板烧。",0
这家餐厅的土耳其葡萄酒非常好喝。酒体醇厚，口感圆润，是一种非常高品质的美酒。,1
经常来，推荐牛肉石锅拌饭，感觉是唐山最好吃的石锅拌饭了，价格小贵，感觉比鱿鱼和什锦拌饭好吃多了，羊五花也挺好，肥牛不错，牛排啥的也都还行。就是人多的时候菜上的忒慢了点，这个感觉上菜应该能再快点的，几乎就是切肉而已。小料不如以前那么好了，品种少了挺多，也偷工减料的嫌疑，自助小料也挺贵了，火也要钱，这么整真没啥必要是不→_→，多挣两块钱丢了口碑不值得，原来隔三差五就会去，现在真是有点腻了，还有推出新菜单的主要目的不是推新菜，而是涨价，呵呵呵呵,0
这家餐厅的tapas真是太棒了！我们点了一份混合拼盘，品尝到了多种多样的小食，每一道都十分美味。炸鲜鱿鱼金黄酥脆，墨鱼炒饭口感十足！酒水选择丰富，总体来说是一场美食盛宴。,1
周末逛完商场来吃饭，人太多了，各个餐厅都排队，只好来美食广场吃快餐。人实在太多，还有人去隔壁买了饭坐过来吃。四个人等了半天才等到位置，点了鸡肉堡和牛肉堡的套餐，等餐倒没等多久，挺快的。米饭都是细条状的，不知道是什么米，把鸡蛋、酱油、三色蔬菜拌在一起，味道还不错，就是菜量太少，好像在吃酱油拌饭。排骨汤一般，油腻，菌类的鲜味儿也没炖出来。可以做简餐吃，不适合几个人聚会吃，快餐还是不滋补。蓝莓优格居然蓝莓籽都打碎了在里边，一边喝还得一边吐种子，也是醉了。,0
